miRNA	biofluid	logFC	AveExpr	t	P.Value	adj.P.Val	B	AUC	n_target	n_rest
hsa-miR-6721-5p	Saliva	0.236903280469232	2.21122599475528	1.00680270465484	0.314588884987053	0.390192731073555	-6.70535857226063	0.54342906875544	45	383
hsa-miR-6516-5p	Saliva	0.187337947240443	2.31648137047006	0.830064312955642	0.406957391663642	0.490766438659719	-6.86859908661698	0.530200174064404	45	383
hsa-miR-4738-3p	Saliva	0.314666805449641	2.21950495205038	1.32498071044936	0.18587259929127	0.256155423088073	-6.33894528198274	0.577545691906005	45	383
hsa-miR-874-5p	Saliva	-0.0625033774123456	2.48989614094978	-0.207998279574579	0.83532758564402	0.877093964926221	-7.19027058245329	0.503104148534958	45	383
hsa-miR-197-5p	Saliva	1.53424305697259	2.37030799449222	5.84692332582313	9.83806484007887e-09	6.24102238292503e-08	9.17733317730574	0.752944589498114	45	383
hsa-miR-6515-5p	Saliva	-0.121245629241445	2.49304320815172	-0.489339235437069	0.624848016293248	0.694402266282095	-7.08983839153425	0.484943429068755	45	383
hsa-miR-616-3p	Saliva	1.26954803216644	1.97999217017656	4.89939046959585	1.35826029033169e-06	6.68127628276624e-06	4.42533301794723	0.737220771685524	45	383
hsa-miR-659-5p	Saliva	0.24699577790357	2.45009134812535	1.04882645476955	0.294839934398174	0.372336530818227	-6.66929593444978	0.55712213519002	45	383
hsa-miR-4687-5p	Saliva	1.03399482921943	2.40339192168973	4.6068328053255	5.3769194708328e-06	2.28989087953649e-05	3.10652742008089	0.711981433130258	45	383
hsa-miR-296-3p	Saliva	0.595697928186736	1.94258011637178	1.68880807794732	0.0919723177747039	0.142160257677144	-5.7941867195291	0.587351319988396	45	383
hsa-miR-6892-5p	Saliva	0.601161090628225	1.91325101685665	2.39699384465895	0.0169509212829507	0.0332358684621282	-4.36545705057145	0.617696547722657	45	383
hsa-miR-99a-3p	Saliva	1.45253174236362	2.39944028855163	3.93000053028768	9.87812345233398e-05	0.000321699314570663	0.338931138538494	0.669103568320279	45	383
hsa-miR-376a-3p	Saliva	0.0987232615967427	2.52165586145572	0.404805146730529	0.685819580921922	0.75254797257919	-7.13397418941521	0.517957644328402	45	383
hsa-miR-365b-5p	Saliva	1.35382244100869	1.75525860529994	3.61939508752573	0.000329989536702719	0.000966171287749787	-0.78685663563565	0.653959965187119	45	383
hsa-miR-504-5p	Saliva	0.999323638105593	2.02574488371083	3.18052067988847	0.00157519765988524	0.00406481091046656	-2.23521564869077	0.651813170873223	45	383
hsa-miR-187-3p	Saliva	1.00360972659101	2.52332521669274	2.48092550115319	0.0134809349112879	0.0274578239497469	-4.17783120371297	0.600580214679431	45	383
hsa-miR-6734-5p	Saliva	0.288413286412672	2.32257385625938	1.21085855626217	0.226606585766992	0.30080429873428	-6.48507813466097	0.563156367856107	45	383
hsa-miR-3679-5p	Saliva	0.63700850397255	2.05310016802487	2.42450155974921	0.0157356191697105	0.0312149578969175	-4.30485563897702	0.615259646069046	45	383
hsa-miR-1227-3p	Saliva	1.00546730037013	1.94603745620029	4.06880910370876	5.61111910150642e-05	0.000191975928809967	0.879859422195397	0.708384102117784	45	383
hsa-miR-2276-3p	Saliva	0.605482310147711	1.9254992746791	2.16199818656091	0.031162517593863	0.0569909105545422	-4.89372650105481	0.60812300551204	45	383
hsa-miR-6852-3p	Saliva	0.254858085093897	2.22666589304941	1.1381432860063	0.25568664701705	0.329900779731744	-6.56619297237463	0.556019727299101	45	383
hsa-miR-204-3p	Saliva	0.404852367866257	2.0749903067401	0.928058514922199	0.353891494370069	0.433641690284451	-6.78163483667588	0.54232666086452	45	383
hsa-miR-4665-5p	Saliva	0.412552288296876	2.08499630347105	1.55506485078379	0.12065730483712	0.179658431896836	-6.00908237638047	0.578938207136641	45	383
hsa-miR-7976	Saliva	0.319587980244976	2.33340412210822	1.324860399895	0.185912474556533	0.256155423088073	-6.34246933149586	0.578706121264868	45	383
hsa-miR-4707-3p	Saliva	0.623611375866417	2.60256186740766	2.42796461571722	0.015588204898381	0.0310235842585425	-4.30283110316666	0.620945749927473	45	383
hsa-miR-378e	Saliva	0.759526420684484	1.87210513613781	2.50688556304646	0.0125434292045835	0.0258072580594303	-4.1040906795508	0.619611256164781	45	383
hsa-miR-1910-5p	Saliva	-0.824212368255186	3.49319724891072	-1.71823250301645	0.086465262691237	0.135365925395793	-5.75546853507957	0.458949811430229	45	383
hsa-miR-652-5p	Saliva	0.288637304991144	2.32767262283516	1.22608483274261	0.220829578660553	0.296876850782068	-6.46662132244138	0.555903684363214	45	383
hsa-miR-542-5p	Saliva	1.32020145982244	2.03515146414816	4.75117722107045	2.75115867090986e-06	1.23195266954714e-05	3.74825224347209	0.713606034232666	45	383
hsa-miR-1284	Saliva	1.09394665164025	1.90470705355042	4.31731180750557	1.9573976113104e-05	7.26862893468314e-05	1.87770466521152	0.708035973310125	45	383
hsa-miR-4485-3p	Saliva	3.13451360013659	1.98300326596764	9.10349757939051	3.17677746098912e-18	6.04580460544491e-17	30.5800287689372	0.832143893240499	45	383
hsa-miR-509-3p	Saliva	-0.468886111967535	3.38378272142715	-1.01551184226552	0.310425975853449	0.385815141417858	-6.71005523110886	0.468523353640847	45	383
hsa-miR-4786-5p	Saliva	0.266500427056219	2.21863052699024	1.12438595885193	0.261468934256251	0.335859767965347	-6.58191542016707	0.558108500145054	45	383
hsa-miR-943	Saliva	0.692552338376423	1.89012631499733	2.69054043844866	0.00740812403786894	0.016055329320506	-3.63369873297087	0.639048447925733	45	383
hsa-miR-561-5p	Saliva	1.06042188987814	2.38298658458872	3.31674237762499	0.00098708550478653	0.00263655733515349	-1.8075641982999	0.649434290687554	45	383
hsa-miR-449a	Saliva	1.51028916307177	2.19294274235676	4.89739953763764	1.37136212700457e-06	6.68127628276624e-06	4.41297162377834	0.711053089643168	45	383
hsa-miR-455-5p	Saliva	1.24479674733914	2.14876776017705	3.10393008698098	0.00203422105569966	0.00509810955934606	-2.47180156016414	0.60980562808239	45	383
hsa-miR-378b	Saliva	0.623353934815355	2.08656421156892	1.89950548690312	0.0581587367262433	0.0949562216254214	-5.42503569653151	0.610095735422106	45	383
hsa-miR-6810-3p	Saliva	0.385889229183315	2.20233255352922	1.51643542054707	0.130135087528564	0.190969321216615	-6.07049772837058	0.571685523643748	45	383
hsa-miR-6793-3p	Saliva	1.41053055626214	1.95397887485177	5.53021922658256	5.52547056839462e-08	3.33169462985378e-07	7.5104124202608	0.761937917029301	45	383
hsa-miR-200b-5p	Saliva	2.30183789825456	2.31049693802579	5.44962728672781	8.46594120894774e-08	4.91024590118969e-07	7.09671765983754	0.722193211488251	45	383
hsa-miR-891a-5p	Saliva	-0.674026377628087	3.20822874153009	-1.19234863974911	0.233774113050729	0.306754645727085	-6.51344486648643	0.47670438062083	45	383
hsa-miR-1304-3p	Saliva	0.293751265653192	2.54608047584609	0.727412907614509	0.467364072721973	0.550531373863987	-6.95547550533689	0.555845662895271	45	383
hsa-miR-200a-5p	Saliva	1.86271052000626	2.36117529880153	4.24290779129903	2.69764125573325e-05	9.72108594521628e-05	1.56571340353796	0.651058891789962	45	383
hsa-miR-486-5p	Urine	-6.40357486997758	14.3348120854725	-27.3705861009227	1.51873189925761e-97	5.13837625915491e-96	211.969655606463	0.0430870279146141	203	225
hsa-miR-92a-3p	Urine	-1.55351344362431	15.0860375056177	-12.9736236718355	6.94733300095336e-33	2.72962954682619e-32	63.4678669718624	0.172107279693487	203	225
hsa-miR-16-5p	Urine	-4.27193150417892	12.0716459568695	-25.7091513934138	4.16783731014161e-90	9.065046149558e-89	194.881786542967	0.0436124794745484	203	225
hsa-miR-22-3p	Urine	-1.98560043931178	15.0823678738497	-15.8442085622556	3.50317143560721e-45	1.95727651769247e-44	91.6686085105219	0.135588396278051	203	225
hsa-miR-451a	Urine	-6.20846909083085	9.68610619714238	-27.0177118215582	5.65401110275891e-96	1.81225934820009e-94	208.366639608142	0.0426272577996716	203	225
hsa-let-7f-5p	Urine	0.762793285853322	14.2056406363696	4.61541022144617	5.13521462359107e-06	6.85821426703281e-06	2.40410599917149	0.6103995621237	203	225
hsa-miR-423-5p	Urine	-1.46950256103579	14.4495374986557	-11.6263800787462	1.77508342987113e-27	5.86336857385648e-27	51.0927848338741	0.194132457580733	203	225
hsa-miR-25-3p	Urine	-2.99263760257425	11.0563885052171	-26.0665576888209	1.02567447831736e-91	2.40244522036643e-90	198.580134903006	0.0262506841817187	203	225
hsa-miR-26a-5p	Urine	-0.702665894235463	14.1620194151006	-4.71791856416216	3.19222627258628e-06	4.31056718404666e-06	2.86615982735088	0.333814997263273	203	225
hsa-let-7i-5p	Urine	-1.26434752937472	12.3771663559017	-9.76613289533245	1.51057778088919e-20	4.01721339983195e-20	35.2793080980268	0.239715380405036	203	225
hsa-let-7a-5p	Urine	0.75288001708562	13.6857418473647	4.98253231935577	8.99065703939349e-07	1.24156692448767e-06	4.08725784181211	0.623251231527094	203	225
hsa-miR-181a-5p	Urine	-1.17515590249329	13.9502839142824	-12.3796169750242	1.823728637489e-30	6.69066710982409e-30	57.9360500426453	0.182791461412151	203	225
hsa-miR-10b-5p	Urine	7.39059032903703	14.5127655396772	45.4078245359093	1.96351955465071e-169	2.39156681756456e-167	377.02455064444	0.992665571975917	203	225
hsa-miR-15a-5p	Urine	-4.48887666521954	7.9048740845433	-26.2410092042848	1.6879671220923e-92	4.28321657230922e-91	200.386678755542	0.0400656814449918	203	225
hsa-miR-191-5p	Urine	-2.94991644360896	13.1840174629157	-24.7617635735601	8.04201913122721e-86	1.28883938182036e-84	185.030043942098	0.0572742200328407	203	225
hsa-miR-93-5p	Urine	-3.81880619197081	9.68784974367413	-29.4415492864255	1.17818560337418e-106	5.1251073746777e-105	232.899345040865	0.029775588396278	203	225
hsa-miR-126-5p	Urine	-5.77656558234847	8.75935561303072	-22.5278673978083	1.27311490082015e-75	1.58229994816219e-74	161.61807679757	0.0888888888888889	203	225
hsa-miR-21-5p	Urine	-0.835031648643177	12.739122785323	-5.78608671661086	1.35769193353765e-08	2.05169823207054e-08	8.16910259714351	0.321050903119869	203	225
hsa-miR-103a-3p	Urine	-2.40357558965224	10.8269977557508	-20.7979199094392	1.13288755188052e-67	1.11278793402457e-66	143.344707991904	0.0879693486590038	203	225
hsa-miR-27b-3p	Urine	0.572993581879725	13.0405705748606	4.86812504848908	1.56592565554195e-06	2.13822583906962e-06	3.5609515561939	0.627060755336617	203	225
hsa-miR-30e-5p	Urine	-1.72841420600221	12.1334933488281	-13.0268977661081	4.19145772020693e-33	1.65753100753638e-32	63.9985857526435	0.170771756978654	203	225
hsa-let-7g-5p	Urine	-1.16255402481937	11.0589064140858	-8.11984384368769	4.59477649123908e-15	9.23504581902509e-15	22.8129065974171	0.27463601532567	203	225
hsa-miR-30d-5p	Urine	0.168491499591037	13.4332818569489	1.31550887830417	0.189014147887617	0.204844143031098	-7.13679612529689	0.513694581280788	203	225
hsa-miR-107	Urine	-1.85508075909573	8.87977388596707	-14.1723796134494	6.52708801588863e-38	2.90145737348626e-37	75.0561015546386	0.169326765188834	203	225
hsa-miR-186-5p	Urine	-2.47975178683245	11.6011664618112	-23.2669958673457	5.22860178515916e-79	6.92221410252593e-78	169.381864010561	0.0521948549534756	203	225
hsa-miR-26b-5p	Urine	-0.54714556197109	11.1431049488111	-3.24298426984808	0.00127155770256251	0.00156124725979953	-2.76382708805418	0.336792556102901	203	225
hsa-miR-101-3p	Urine	-0.822982483093258	10.5111382382971	-6.33930307373475	5.65525866727555e-10	9.03950794847982e-10	11.3029308031089	0.319912424740011	203	225
hsa-miR-10a-5p	Urine	5.10544472412281	13.4025165626016	36.7942097067859	2.92074566533901e-137	2.9645568503191e-135	303.200661028473	0.980667761357417	203	225
hsa-miR-192-5p	Urine	3.1495794192268	12.1249791087873	26.3261006663185	7.00705517480057e-93	1.85534634845806e-91	201.252396392321	0.952118226600985	203	225
hsa-miR-143-3p	Urine	-4.38785367533319	10.0296916789363	-26.841867240336	3.4437909366414e-95	1.04863434020731e-93	206.563543358475	0.0478379857690202	203	225
hsa-miR-148a-3p	Urine	0.667534290389343	12.606457742191	5.57754142397359	4.23347866962684e-08	6.31908948481065e-08	7.06123518086838	0.644619594964423	203	225
hsa-miR-182-5p	Urine	0.121088425262845	10.6633722940546	0.887108133124562	0.375498344238551	0.391572759659722	-7.5662053686985	0.52440065681445	203	225
hsa-let-7b-5p	Urine	0.391179558571333	12.4421032255272	3.4306271917499	0.000658185078911676	0.000821382608723793	-2.17378147496193	0.595533661740558	203	225
hsa-miR-425-5p	Urine	-4.18656792776746	8.72238865892476	-35.454933654044	6.687362045523e-132	5.09075435715438e-130	290.852694988972	0.0160919540229885	203	225
hsa-miR-151a-3p	Urine	-1.29771542546597	11.948654592231	-8.20295228279308	2.52471227944314e-15	5.12516592726958e-15	23.3913701810311	0.272424740010947	203	225
hsa-miR-199a-3p|hsa-miR-199b-3p	Urine	-5.48687825232857	7.9993272326007	-31.8154301240383	7.58387461833236e-117	4.61857964256441e-115	256.297144831702	0.0305637657361795	203	225
hsa-miR-320a	Urine	-1.21564308418108	12.411398100082	-8.53289499906183	2.24607252180699e-16	4.78272085937224e-16	25.7740299822273	0.263076081007115	203	225
hsa-let-7d-5p	Urine	-1.69801856404436	9.68125527038439	-11.6260002321373	1.78115465708284e-27	5.86336857385648e-27	51.1460563044765	0.208604269293924	203	225
hsa-miR-423-3p	Urine	-1.35995260161719	12.2653540344067	-12.527047678772	4.62838132982406e-31	1.73992853695238e-30	59.3169972679939	0.188659003831418	203	225
hsa-miR-151a-5p|hsa-miR-151b	Urine	-1.58182657996497	10.0421806501447	-9.26143844788804	8.53944573701062e-19	2.08856323447368e-18	31.3175268967056	0.261937602627258	203	225
hsa-miR-144-5p	Urine	-3.80961975502087	5.32495623883833	-19.7121047785509	1.10386350195216e-62	9.5353636639769e-62	131.916349039769	0.102047071702244	203	225
hsa-miR-146a-5p	Urine	-4.89503945147285	9.95376517794234	-25.0480468703202	4.04928356690639e-87	7.04575340641712e-86	188.024922744137	0.0606677613574165	203	225
hsa-miR-142-5p	Urine	-6.08458076877268	9.53859645766388	-33.9097112360996	1.34986109908057e-125	9.13406010377855e-124	276.387620492784	0.0200547345374932	203	225
hsa-miR-223-3p	Urine	-5.03662268286732	8.61100845421719	-24.7274813163776	1.15070135012388e-85	1.79686441596268e-84	184.689442517239	0.0479255610290093	203	225
hsa-miR-28-3p	Urine	-0.483126140153218	12.160177695947	-3.92951970583895	9.86097032674216e-05	0.000126962598921479	-0.384421213579071	0.373136288998358	203	225
hsa-miR-221-3p	Urine	-2.8135230278448	10.3370452856763	-21.6876432050744	9.19369602220267e-72	9.9981444241454e-71	152.745415666058	0.0770443349753695	203	225
hsa-miR-27a-3p	Urine	-1.98931714795521	8.4933704478226	-12.9009376707008	1.3822734655573e-32	5.39618295207946e-32	62.8579118785	0.173771209633279	203	225
hsa-miR-92b-3p	Urine	0.458900894185055	9.43577424124091	3.29683380544136	0.00105588667243344	0.00130433059535895	-2.56452837329401	0.597219485495348	203	225
hsa-miR-16-2-3p	Urine	-4.68059235218082	6.38029865391667	-29.5034963079373	6.33486358256123e-107	2.96763993983061e-105	233.514757123795	0.0283743842364532	203	225
hsa-miR-106b-3p	Urine	-3.30337666343836	7.70239645550629	-25.1236302501897	1.84123006444017e-87	3.2979679683649e-86	188.816629362637	0.0481663929939792	203	225
hsa-miR-363-3p	Urine	-0.268287771729137	8.39968980457247	-1.66349100033992	0.0969159840417435	0.107900976748486	-6.54003884182729	0.432884510125889	203	225
hsa-miR-486-3p	Urine	-3.64622333472455	5.84959572031442	-18.6248027921035	1.04861169023881e-57	7.69403035367991e-57	120.48671803759	0.125035577449371	203	225
hsa-miR-144-3p	Urine	-4.50749422472288	5.85320061434984	-22.299550682749	1.42111712515132e-74	1.69698103768069e-73	159.218612067358	0.0856923918992885	203	225
hsa-miR-130a-3p	Urine	-1.36063051963505	8.77919124708351	-10.3455415070806	1.24843103847511e-22	3.62045001157781e-22	40.083699955946	0.222178434592228	203	225
hsa-miR-140-3p	Urine	-2.85163085310944	9.47047342443218	-26.1041428653947	6.95153936309059e-92	1.69339498884887e-90	198.972290777918	0.040831964969896	203	225
hsa-miR-378a-3p	Urine	1.22391286478442	11.6530169735784	8.3398408726653	9.32802618519582e-16	1.93223399550485e-15	24.3741526511909	0.740777230432403	203	225
hsa-miR-126-3p	Urine	-5.33416423461947	6.87002769166149	-23.8449324667582	1.19601736823699e-81	1.73422518394364e-80	175.465425898058	0.0840065681444992	203	225
hsa-miR-30a-5p	Urine	5.82290547724468	12.7207407257868	48.2674317224246	2.83303072236665e-179	5.7510523664043e-177	399.556993493333	0.986294471811713	203	225
hsa-miR-148b-3p	Urine	-2.76786226985679	9.32944551587598	-16.6492374572434	9.16052416453071e-49	5.36419155403769e-48	99.9445525599768	0.15632183908046	203	225
hsa-miR-744-5p	Urine	-1.56458589964851	10.5276722074267	-12.6885212662892	1.02189444194447e-31	3.9140485229194e-31	60.8411940070547	0.197131910235359	203	225
hsa-miR-484	Urine	-3.48598077765285	8.20061184161139	-25.5281168251606	2.73244497953468e-89	5.36793223398909e-88	193.015590194414	0.0470060207991242	203	225
hsa-miR-532-5p	Urine	0.868556491278581	8.58448168511401	6.96665413174881	1.1694883882088e-11	2.00061356297517e-11	15.1316922582113	0.697339901477833	203	225
hsa-miR-127-3p	Urine	-3.69485033529193	8.8241459327067	-15.7668990900238	7.69253455620081e-45	4.14579959710291e-44	90.9465199154149	0.151505199781062	203	225
hsa-miR-128-3p	Urine	-1.43371292065413	8.40109890302681	-11.7355945581845	6.6347079025855e-28	2.24474284037476e-27	52.143848521977	0.171406677613574	203	225
hsa-miR-30c-5p	Urine	-0.0247533393860314	10.0627087055849	-0.156440432476882	0.875756589650303	0.883324436172834	-7.93708531608777	0.462550629447181	203	225
hsa-miR-150-5p	Urine	-4.69080740268801	5.88273683170535	-30.2923486829701	2.43422286665864e-110	1.23536810482926e-108	241.355930668637	0.0271483305966065	203	225
hsa-miR-130b-3p	Urine	-3.59530987058683	7.10953519725278	-26.7474174052828	9.09936346512139e-95	2.6388154048852e-93	205.596996167788	0.0423426382047072	203	225
hsa-miR-222-3p	Urine	-0.791209218249519	10.3131914013276	-5.53725730838041	5.25293142432184e-08	7.76464863449515e-08	6.88919741796318	0.332107279693487	203	225
hsa-miR-23a-3p	Urine	-2.99065219772876	7.89053509699709	-22.0497081970835	1.99472376307412e-73	2.29205051266442e-72	156.580972040367	0.0710016420361248	203	225
hsa-miR-584-5p	Urine	-4.13405133054939	7.49226865093328	-18.8656885341753	8.32162560367974e-59	6.41502530714046e-58	123.007904552472	0.138040503557745	203	225
hsa-miR-106b-5p	Urine	-3.71908851503731	6.0039671143799	-25.3067536286295	2.73278814059718e-88	5.04323629582934e-87	190.720799449378	0.0535741652983032	203	225
hsa-miR-98-5p	Urine	0.15025800875629	9.66647922427769	0.903119624987834	0.366949455296569	0.384816723504146	-7.53499313911518	0.523700054734538	203	225
